#BOOKMARKS;;;;;;;;;;;;;;x;
raise_luxembourg_desc;Use your authority as Emperor to raise Luxembourg to the status of Grand Duchy. If Luxembourg is owned by one of your vassals, their loyalty to you will be assured.;Use your authority as Emperor to raise Luxembourg to the status of Grand Duchy. If Luxembourg is owned by one of your vassals, their loyalty to you will be assured.;Use your authority as Emperor to raise Luxembourg to the status of Grand Duchy. If Luxembourg is owned by one of your vassals, their loyalty to you will be assured.;;Use your authority as Emperor to raise Luxembourg to the status of Grand Duchy. If Luxembourg is owned by one of your vassals, their loyalty to you will be assured.;;;;;;;;;x;
raise_tuscany;Raise Tuscany to Grand Duchy status;Raise Tuscany to Grand Duchy status;Raise Tuscany to Grand Duchy status;;Raise Tuscany to Grand Duchy status;;;;;;;;;x;
raise_tuscany_desc;Use your authority as Emperor to raise Tuscany to the status of Grand Duchy. If Tuscany is owned by one of your vassals, their loyalty to you will be assured.;Use your authority as Emperor to raise Tuscany to the status of Grand Duchy. If Tuscany is owned by one of your vassals, their loyalty to you will be assured.;Use your authority as Emperor to raise Tuscany to the status of Grand Duchy. If Tuscany is owned by one of your vassals, their loyalty to you will be assured.;;Use your authority as Emperor to raise Tuscany to the status of Grand Duchy. If Tuscany is owned by one of your vassals, their loyalty to you will be assured.;;;;;;;;;x;
raise_saxony;Raise Saxony to Grand Duchy status;Raise Saxony to Grand Duchy status;Raise Saxony to Grand Duchy status;;Raise Saxony to Grand Duchy status;;;;;;;;;x;
raise_saxony_desc;Use your authority as Emperor to raise Saxony to the status of Grand Duchy. If Saxony is owned by one of your vassals, their loyalty to you will be assured.;Use your authority as Emperor to raise Saxony to the status of Grand Duchy. If Saxony is owned by one of your vassals, their loyalty to you will be assured.;Use your authority as Emperor to raise Saxony to the status of Grand Duchy. If Saxony is owned by one of your vassals, their loyalty to you will be assured.;;Use your authority as Emperor to raise Saxony to the status of Grand Duchy. If Saxony is owned by one of your vassals, their loyalty to you will be assured.;;;;;;;;;x;
raise_lorraine;Raise Lorraine to Grand Duchy status;Raise Lorraine to Grand Duchy status;Raise Lorraine to Grand Duchy status;;Raise Lorraine to Grand Duchy status;;;;;;;;;x;
raise_lorraine_desc;Use your authority as Emperor to raise Lorraine to the status of Grand Duchy. If Lorraine is owned by one of your vassals, their loyalty to you will be assured.;Use your authority as Emperor to raise Lorraine to the status of Grand Duchy. If Lorraine is owned by one of your vassals, their loyalty to you will be assured.;Use your authority as Emperor to raise Lorraine to the status of Grand Duchy. If Lorraine is owned by one of your vassals, their loyalty to you will be assured.;;Use your authority as Emperor to raise Lorraine to the status of Grand Duchy. If Lorraine is owned by one of your vassals, their loyalty to you will be assured.;;;;;;;;;x;
raise_holland;Raise Holland to Grand Duchy status;Raise Holland to Grand Duchy status;Raise Holland to Grand Duchy status;;Raise Holland to Grand Duchy status;;;;;;;;;x;
raise_holland_desc;Use your authority as Emperor to raise Holland to the status of Grand Duchy. If Holland is owned by one of your vassals, their loyalty to you will be assured.;Use your authority as Emperor to raise Holland to the status of Grand Duchy. If Holland is owned by one of your vassals, their loyalty to you will be assured.;Use your authority as Emperor to raise Holland to the status of Grand Duchy. If Holland is owned by one of your vassals, their loyalty to you will be assured.;;Use your authority as Emperor to raise Holland to the status of Grand Duchy. If Holland is owned by one of your vassals, their loyalty to you will be assured.;;;;;;;;;x;
raise_bohemia;Raise Bohemia to Kingdom status;Raise Bohemia to Kingdom status;Raise Bohemia to Kingdom status;;Raise Bohemia to Kingdom status;;;;;;;;;x;
raise_bohemia_desc;Use your authority as Emperor to raise Bohemia to the status of Kingdom. If Bohemia is owned by one of your vassals, their loyalty to you will be assured.;Use your authority as Emperor to raise Bohemia to the status of Kingdom. If Bohemia is owned by one of your vassals, their loyalty to you will be assured.;Use your authority as Emperor to raise Bohemia to the status of Kingdom. If Bohemia is owned by one of your vassals, their loyalty to you will be assured.;;Use your authority as Emperor to raise Bohemia to the status of Kingdom. If Bohemia is owned by one of your vassals, their loyalty to you will be assured.;;;;;;;;;x;
raise_aquitaine;Raise Aquitaine to Grand Duchy status;Raise Aquitaine to Grand Duchy status;Raise Aquitaine to Grand Duchy status;;Raise Aquitaine to Grand Duchy status;;;;;;;;;;
raise_aquitaine_desc;Use your authority as Emperor to raise Aquitaine to the status of Grand Duchy. If Aquitaine is owned by one of your vassals, their loyalty to you will be assured.;Use your authority as Emperor to raise Aquitaine to the status of Grand Duchy. If Aquitaine is owned by one of your vassals, their loyalty to you will be assured.;Use your authority as Emperor to raise Aquitaine to the status of Grand Duchy. If Aquitaine is owned by one of your vassals, their loyalty to you will be assured.;;Use your authority as Emperor to raise Aquitaine to the status of Grand Duchy. If Aquitaine is owned by one of your vassals, their loyalty to you will be assured.;;;;;;;;;;
raise_burgundy;Raise Burgundy to Grand Duchy status;Raise Burgundy to Grand Duchy status;Raise Burgundy to Grand Duchy status;;Raise Burgundy to Grand Duchy status;;;;;;;;;;
raise_burgundy_desc;Use your authority as Emperor to raise Burgundy to the status of Grand Duchy. If Burgundy is owned by one of your vassals, their loyalty to you will be assured.;Use your authority as Emperor to raise Burgundy to the status of Grand Duchy. If Burgundy is owned by one of your vassals, their loyalty to you will be assured.;Use your authority as Emperor to raise Burgundy to the status of Grand Duchy. If Burgundy is owned by one of your vassals, their loyalty to you will be assured.;;Use your authority as Emperor to raise Burgundy to the status of Grand Duchy. If Burgundy is owned by one of your vassals, their loyalty to you will be assured.;;;;;;;;;;
raise_normandy;Raise Normandy to Grand Duchy status;Raise Normandy to Grand Duchy status;Raise Normandy to Grand Duchy status;;Raise Normandy to Grand Duchy status;;;;;;;;;;
raise_normandy_desc;Use your authority as Emperor to raise Normandy to the status of Grand Duchy. If Normandy is owned by one of your vassals, their loyalty to you will be assured.;Use your authority as Emperor to raise Normandy to the status of Grand Duchy. If Normandy is owned by one of your vassals, their loyalty to you will be assured.;Use your authority as Emperor to raise Normandy to the status of Grand Duchy. If Normandy is owned by one of your vassals, their loyalty to you will be assured.;;Use your authority as Emperor to raise Normandy to the status of Grand Duchy. If Normandy is owned by one of your vassals, their loyalty to you will be assured.;;;;;;;;;;
raise_sicily;Raise Sicily to Kingdom status;;;;;;;;;;;;;;
raise_sicily_desc;Use your authority as Emperor to raise Sicily to the status of Kingdom. If Sicily is owned by one of your vassals, their loyalty to you will be assured.;;;;;;;;;;;;;;
raise_milan;Raise Milan to Grand Duchy status;;;;;;;;;;;;;;
raise_milan_desc;Use your authority as Emperor to raise Milan to the status of Grand Duchy. If Milan is owned by one of your vassals, their loyalty to you will be assured.;;;;;;;;;;;;;;
raise_naples;Raise Naples to Grand Duchy status;;;;;;;;;;;;;;
raise_naples_desc;Use your authority as Emperor to raise Naples to the status of Grand Duchy. If Naples is owned by one of your vassals, their loyalty to you will be assured.;;;;;;;;;;;;;;
restore_germany;Restore the Kingdom of Germany;Restore the Kingdom of Germany;Restore the Kingdom of Germany;;Restore the Kingdom of Germany;;;;;;;;;x;
restore_germany_desc;While Germany exists as a concept, it is currently heavily divided. With enough of Germania under your control, however, it may well be possible to recreate the old Kingdom of Germany back as it once was.;While Germany exists as a concept, it is currently heavily divided. With enough of Germania under your control, however, it may well be possible to recreate the old Kingdom of Germany back as it once was.;While Germany exists as a concept, it is currently heavily divided. With enough of Germania under your control, however, it may well be possible to recreate the old Kingdom of Germany back as it once was.;;While Germany exists as a concept, it is currently heavily divided. With enough of Germania under your control, however, it may well be possible to recreate the old Kingdom of Germany back as it once was.;;;;;;;;;x;
build_cairo;Build Cairo;Build Cairo;Build Cairo;;Build Cairo;;;;;;;;;x;
build_cairo_desc;Egypt is now under our control, and what a prize it is! Surely now is the time to build a new capital to commemorate this great and bountiful gain.;Egypt is now under our control, and what a prize it is! Surely now is the time to build a new capital to commemorate this great and bountiful gain.;Egypt is now under our control, and what a prize it is! Surely now is the time to build a new capital to commemorate this great and bountiful gain.;;Egypt is now under our control, and what a prize it is! Surely now is the time to build a new capital to commemorate this great and bountiful gain.;;;;;;;;;x;
restore_roman_empire_latin;Restore the Roman Empire;Restore the Roman Empire;Restore the Roman Empire;;Restore the Roman Empire;;;;;;;;;x;
restore_roman_empire_latin_desc;If Rome and other key territories of the old empire could be reclaimed, the Latin Empire would win recognition in the eyes of the world as the true and rightful continuation of the Roman State.;If Rome and other key territories of the old empire could be reclaimed, the Latin Empire would win recognition in the eyes of the world as the true and rightful continuation of the Roman State.;If Rome and other key territories of the old empire could be reclaimed, the Latin Empire would win recognition in the eyes of the world as the true and rightful continuation of the Roman State.;;If Rome and other key territories of the old empire could be reclaimed, the Latin Empire would win recognition in the eyes of the world as the true and rightful continuation of the Roman State.;;;;;;;;;x;
restore_roman_empire_italy;Restore the Roman Empire;Restore the Roman Empire;Restore the Roman Empire;;Restore the Roman Empire;;;;;;;;;x;
restore_roman_empire_italy_desc;If Rome and other key territories of the old empire could be reclaimed, the Italian Empire would win recognition in the eyes of the world as the true and rightful continuation of the Roman State.;If Rome and other key territories of the old empire could be reclaimed, the Italian Empire would win recognition in the eyes of the world as the true and rightful continuation of the Roman State.;If Rome and other key territories of the old empire could be reclaimed, the Italian Empire would win recognition in the eyes of the world as the true and rightful continuation of the Roman State.;;If Rome and other key territories of the old empire could be reclaimed, the Italian Empire would win recognition in the eyes of the world as the true and rightful continuation of the Roman State.;;;;;;;;;x;
restore_roman_empire_hre;Restore the Roman Empire;Restore the Roman Empire;Restore the Roman Empire;;Restore the Roman Empire;;;;;;;;;x;
restore_roman_empire_hre_desc;If Rome and other key territories of the old empire could be reclaimed, the Holy Roman Empire would win recognition in the eyes of the world as the true and rightful continuation of the Roman State.;If Rome and other key territories of the old empire could be reclaimed, the Holy Roman Empire would win recognition in the eyes of the world as the true and rightful continuation of the Roman State.;If Rome and other key territories of the old empire could be reclaimed, the Holy Roman Empire would win recognition in the eyes of the world as the true and rightful continuation of the Roman State.;;If Rome and other key territories of the old empire could be reclaimed, the Holy Roman Empire would win recognition in the eyes of the world as the true and rightful continuation of the Roman State.;;;;;;;;;x;
restore_roman_empire_karling;Restore the Roman Empire;Restore the Roman Empire;Restore the Roman Empire;;Restore the Roman Empire;;;;;;;;;x;
restore_roman_empire_karling_desc;If Rome and other key territories of the old empire could be reclaimed, the Carolingian Empire would win recognition in the eyes of the world as the true and rightful continuation of the Roman State.;If Rome and other key territories of the old empire could be reclaimed, the Carolingian Empire would win recognition in the eyes of the world as the true and rightful continuation of the Roman State.;If Rome and other key territories of the old empire could be reclaimed, the Carolingian Empire would win recognition in the eyes of the world as the true and rightful continuation of the Roman State.;;If Rome and other key territories of the old empire could be reclaimed, the Carolingian Empire would win recognition in the eyes of the world as the true and rightful continuation of the Roman State.;;;;;;;;;x;
claim_karling_crown;Claim the Carolingian Empire;Claim the Carolingian Empire;Claim the Carolingian Empire;;Claim the Carolingian Empire;;;;;;;;;x;
claim_karling_crown_desc;With the death of the last Emperor, the throne of the partitioned Carolingian Empire has remained empty. Perhaps the Pope can be convinced to hand the imperial crown and regalia to you...;With the death of the last Emperor, the throne of the partitioned Carolingian Empire has remained empty. Perhaps the Pope can be convinced to hand the imperial crown and regalia to you...;With the death of the last Emperor, the throne of the partitioned Carolingian Empire has remained empty. Perhaps the Pope can be convinced to hand the imperial crown and regalia to you...;;With the death of the last Emperor, the throne of the partitioned Carolingian Empire has remained empty. Perhaps the Pope can be convinced to hand the imperial crown and regalia to you...;;;;;;;;;x;
crown_co_ruler;Co-crown;Crown as co-Emperor;Crown as co-Emperor;;Crown as co-Emperor;;;;;;;;;;
crown_co_ruler_desc;Attempt to have this character elected to be crowned as King of the Romans, thus ensuring that they will succeed you when you die.;Attempt to have this character elected to be crowned as co-Emperor, thus ensuring that they will succeed you when you die.;Attempt to have this character elected to be crowned as co-Emperor, thus ensuring that they will succeed you when you die.;;Attempt to have this character elected to be crowned as co-Emperor, thus ensuring that they will succeed you when you die.;;;;;;;;;;
end_papal_crownings;End Papal Crownings;End Papal Crownings;End Papal Crownings;;End Papal Crownings;;;;;;;;;;
end_papal_crownings_desc;Traditionally, the authority of the Roman Emperor comes from the authority of the Pope through an official coronation. However, this was not always the case, and a sufficiently powerful Emperor can overturn this institution and rule in [Root.GetHerHis] own right...;Traditionally, the authority of the Roman Emperor comes from the authority of the Pope through an official coronation. However, this was not always the case, and a sufficiently powerful Emperor can overturn this institution and rule in [Root.GetHerHis] own right...;Traditionally, the authority of the Roman Emperor comes from the authority of the Pope through an official coronation. However, this was not always the case, and a sufficiently powerful Emperor can overturn this institution and rule in [Root.GetHerHis] own right...;;Traditionally, the authority of the Roman Emperor comes from the authority of the Pope through an official coronation. However, this was not always the case, and a sufficiently powerful Emperor can overturn this institution and rule in [Root.GetHerHis] own right...;;;;;;;;;;
form_the_hre;Restore the Holy Roman Empire;Restore the Holy Roman Empire;Restore the Holy Roman Empire;;Restore the Holy Roman Empire;;;;;;;;;;
form_the_hre_desc;While the Holy Roman Empire no longer exists, it may well be possible to convince the Pope to officially crown you as Roman Emperor, effectively reviving it;While the Holy Roman Empire no longer exists, it may well be possible to convince the Pope to officially crown you as Roman Emperor, effectively reviving it;While the Holy Roman Empire no longer exists, it may well be possible to convince the Pope to officially crown you as Roman Emperor, effectively reviving it;;While the Holy Roman Empire no longer exists, it may well be possible to convince the Pope to officially crown you as Roman Emperor, effectively reviving it;;;;;;;;;;
form_marca_hispanica;Form the Marca Hispanica;Form the Marca Hispanica;Form the Marca Hispanica;;Form the Marca Hispanica;;;;;;;;;;
form_marca_hispanica_desc;The Muslim armies to the south still represent a threat. Our presence south of the Pyrenees must be strengthened and secured for our own safety.;The Muslim armies to the south still represent a threat. Our presence south of the Pyrenees must be strengthened and secured for our own safety.;The Muslim armies to the south still represent a threat. Our presence south of the Pyrenees must be strengthened and secured for our own safety.;;The Muslim armies to the south still represent a threat. Our presence south of the Pyrenees must be strengthened and secured for our own safety.;;;;;;;;;;
#EVENT MODIFIERS;;;;;;;;;;;;;;x;
stat_fav_prin;Statutum in Favorem Principum;Statutum in Favorem Principum;Statutum in Favorem Principum;;Statutum in Favorem Principum;;;;;;;;;x;
stat_fav_prin_desc;The lords of the Empire have been granted privileges, greatly reducing the centralized power of the realm;The lords of the Empire have been granted privileges, greatly reducing the centralized power of the realm;The lords of the Empire have been granted privileges, greatly reducing the centralized power of the realm;;The lords of the Empire have been granted privileges, greatly reducing the centralized power of the realm;;;;;;;;;x;
beat_the_pope;Ecumenical dominance;Ecumenical dominance;Ecumenical dominance;;Ecumenical dominance;;;;;;;;;x;
beat_the_pope_desc;This character clashed with the Pope over investiture and came up on top.;This character clashed with the Pope over investiture and came up on top.;This character clashed with the Pope over investiture and came up on top.;;This character clashed with the Pope over investiture and came up on top.;;;;;;;;;x;
bowed_to_pope;Acknowledged Papal supremacy;Acknowledged Papal supremacy;Acknowledged Papal supremacy;;Acknowledged Papal supremacy;;;;;;;;;x;
bowed_to_pope_desc;This character confirmed the supremacy of the Papacy over the Catholic faith, and therefore over themselves;This character confirmed the supremacy of the Papacy over the Catholic faith, and therefore over themselves;This character confirmed the supremacy of the Papacy over the Catholic faith, and therefore over themselves;;This character confirmed the supremacy of the Papacy over the Catholic faith, and therefore over themselves;;;;;;;;;x;
crowned_wicked_pope;Crowned by a wicked Pope;Crowned by a wicked Pope;Crowned by a wicked Pope;;Crowned by a wicked Pope;;;;;;;;;x;
crowned_wicked_pope_desc;This character owes their authority to a most impious Pope;This character owes their authority to a most impious Pope;This character owes their authority to a most impious Pope;;This character owes their authority to a most impious Pope;;;;;;;;;x;
praised_by_pope;Praised by the Pope;Praised by the Pope;Praised by the Pope;;Praised by the Pope;;;;;;;;;x;
praised_by_pope_desc;This character has been praised by the Pope for their piety;This character has been praised by the Pope for their piety;This character has been praised by the Pope for their piety;;This character has been praised by the Pope for their piety;;;;;;;;;x;
condemned_by_pope;Condemned by the Pope;Condemned by the Pope;Condemned by the Pope;;Condemned by the Pope;;;;;;;;;x;
condemned_by_pope_desc;This character has been condemned by the Pope for their lack of piety;This character has been condemned by the Pope for their lack of piety;This character has been condemned by the Pope for their lack of piety;;This character has been condemned by the Pope for their lack of piety;;;;;;;;;x;
hussite_war;Hussite stronghold;Hussite stronghold;Hussite stronghold;;Hussite stronghold;;;;;;;;;x;
hussite_war_desc;This province is a stronghold for Hussites;This province is a stronghold for Hussites;This province is a stronghold for Hussites;;This province is a stronghold for Hussites;;;;;;;;;x;
suspected_usurper;Suspected Usurper;Suspected Usurper;Suspected Usurper;;Suspected Usurper;;;;;;;;;x;
suspected_usurper_desc;This character has attained the throne through dubious means, and their legitimacy is being called into question;This character has attained the throne through dubious means, and their legitimacy is being called into question;This character has attained the throne through dubious means, and their legitimacy is being called into question;;This character has attained the throne through dubious means, and their legitimacy is being called into question;;;;;;;;;x;
temp_succ_inherit_block;Wait, how are you seeing this?;Wait, how are you seeing this?;Wait, how are you seeing this?;;Wait, how are you seeing this?;;;;;;;;;;
temp_succ_inherit_block_desc;Is this a bug? Or are you peering through the localisation files, searching for secrets?;Is this a bug? Or are you peering through the localisation files, searching for secrets?;Is this a bug? Or are you peering through the localisation files, searching for secrets?;;Is this a bug? Or are you peering through the localisation files, searching for secrets?;;;;;;;;;;
forced_papal_crowning;Tried to Force a Papal Crowning;Tried to Force a Papal Crowning;Tried to Force a Papal Crowning;;Tried to Force a Papal Crowning;;;;;;;;;;
forced_papal_crowning_desc;Was a very naughty person;Was a very naughty person;Was a very naughty person;;Was a very naughty person;;;;;;;;;;
burgundian_succession;Succession Treaty;Succession Treaty;Succession Treaty;;Succession Treaty;;;;;;;;;;
burgundian_succession_desc;This character has signed a succession treaty with the Holy Roman Emperor, who is set to inherit their titles upon death;This character has signed a succession treaty with the Holy Roman Emperor, who is set to inherit their titles upon death;This character has signed a succession treaty with the Holy Roman Emperor, who is set to inherit their titles upon death;;This character has signed a succession treaty with the Holy Roman Emperor, who is set to inherit their titles upon death;;;;;;;;;;
#MORAL AUTHORITY;;;;;;;;;;;;;;x;
investiture_controversy_1;Investiture controversy;Investiture controversy;Investiture controversy;;Investiture controversy;;;;;;;;;x;
investiture_controversy_2;Investiture controversy compromise;Investiture controversy compromise;Investiture controversy compromise;;Investiture controversy compromise;;;;;;;;;x;
investiture_controversy_3;Emperor submitted to Pope on investiture;Emperor submitted to Pope on investiture;Emperor submitted to Pope on investiture;;Emperor submitted to Pope on investiture;;;;;;;;;x;
investiture_controversy_4;Pope lost investiture controversy;Pope lost investiture controversy;Pope lost investiture controversy;;Pope lost investiture controversy;;;;;;;;;x;
investiture_controversy_5;Investiture controversy reignited;Investiture controversy reignited;Investiture controversy reignited;;Investiture controversy reignited;;;;;;;;;x;
end_papal_crowning;Papal Coronations Abolished;Papal Coronations Abolished;Papal Coronations Abolished;;Papal Coronations Abolished;;;;;;;;;;
forced_papal_crowning_ma;Pope forced to crown Emperor;Pope forced to crown Emperor;Pope forced to crown Emperor;;Pope forced to crown Emperor;;;;;;;;;;
#OPINION MODIFIERS;;;;;;;;;;;;;;x;
opinion_grateful_pope;Aided against enemies;Aided against enemies;Aided against enemies;;Aided against enemies;;;;;;;;;x;
opinion_tolerated_hussites;Tolerated heretics;Tolerated heretics;Tolerated heretics;;Tolerated heretics;;;;;;;;;x;
denied_kingdom_bohemia;Denied elevation to kingdom;Denied elevation to kingdom;Denied elevation to kingdom;;Denied elevation to kingdom;;;;;;;;;x;
opinion_raised_to_kingdom;Raised title to kingdom status;Raised title to kingdom status;Raised title to kingdom status;;Raised title to kingdom status;;;;;;;;;x;
opinion_raised_to_g_duchy;Raised title to grand duchy status;Raised title to grand duchy status;Raised title to grand duchy status;;Raised title to grand duchy status;;;;;;;;;x;
opinion_raised_to_a_duchy;Raised title to archduchy status;Raised title to archduchy status;Raised title to archduchy status;;Raised title to archduchy status;;;;;;;;;x;
gave_land_to_pope;Gave land to the Pope;Gave land to the Pope;Gave land to the Pope;;Gave land to the Pope;;;;;;;;;x;
pope_praised;Praised piety;Praised piety;Praised piety;;Praised piety;;;;;;;;;x;
pope_condemned;Condemned lack of piety;Condemned lack of piety;Condemned lack of piety;;Condemned lack of piety;;;;;;;;;x;
opinion_supported_liege;Supported against Pope;Supported against Pope;Supported against Pope;;Supported against Pope;;;;;;;;;x;
opinion_unsupported_liege;Supported Pope;Supported Pope;Supported Pope;;Supported Pope;;;;;;;;;x;
opinion_supported_the_pope;Supported against Emperor;Supported against Emperor;Supported against Emperor;;Supported against Emperor;;;;;;;;;x;
opinion_unsupported_the_pope;Supported Emperor;Supported Emperor;Supported Emperor;;Supported Emperor;;;;;;;;;x;
opinion_supported_emperor;Grateful for support;Grateful for support;Grateful for support;;Grateful for support;;;;;;;;;x;
opinion_unsupported_emperor;Angry at lack of support;Angry at lack of support;Angry at lack of support;;Angry at lack of support;;;;;;;;;x;
opinion_pope_demand;Made demands;Made demands;Made demands;;Made demands;;;;;;;;;x;
opinion_pope_demand_refused;Refused Papal demands;Refused Papal demands;Refused Papal demands;;Refused Papal demands;;;;;;;;;x;
opinion_pope_offered_crown;Offered to crown;Offered to crown;Offered to crown;;Offered to crown;;;;;;;;;x;
opinion_pope_submission;Submitted to Imperial demands;Submitted to Imperial demands;Submitted to Imperial demands;;Submitted to Imperial demands;;;;;;;;;x;
opinion_refused_repentance;Refused repentance;Refused repentance;Refused repentance;;Refused repentance;;;;;;;;;x;
opinion_emperor_demands_refused;Refused Imperial demands;Refused Imperial demands;Refused Imperial demands;;Refused Imperial demands;;;;;;;;;x;
opinion_refusal_to_compromise;Refused compromise;Refused compromise;Refused compromise;;Refused compromise;;;;;;;;;x;
opinion_papal_deposition;Called for deposition;Called for deposition;Called for deposition;;Called for deposition;;;;;;;;;x;
opinion_pope_deposed;Deposed by Pope;Deposed by Pope;Deposed by Pope;;Deposed by Pope;;;;;;;;;x;
opinion_tributary_vassal;Attempted vassalization;Attempted vassalization;Attempted vassalization;;Attempted vassalization;;;;;;;;;x;
opinion_tributary_refused;Refused vassalization request;Refused vassalization request;Refused vassalization request;;Refused vassalization request;;;;;;;;;x;
opinion_demand_autonomy;Demanded greater autonomy;Demanded greater autonomy;Demanded greater autonomy;;Demanded greater autonomy;;;;;;;;;x;
opinion_denied_autonomy;Denied greater autonomy;Denied greater autonomy;Denied greater autonomy;;Denied greater autonomy;;;;;;;;;x;
opinion_revoked_autonomy;Revoked autonomy privileges;Revoked autonomy privileges;Revoked autonomy privileges;;Revoked autonomy privileges;;;;;;;;;x;
opinion_gave_italy;Gave a claim to Italy;Gave a claim to Italy;Gave a claim to Italy;;Gave a claim to Italy;;;;;;;;;x;
opinion_gave_away_italy;Gave away a claim to Italy;Gave away a claim to Italy;Gave away a claim to Italy;;Gave away a claim to Italy;;;;;;;;;x;
opinion_claim_italy;Received claim from Pope;Received claim from Pope;Received claim from Pope;;Received claim from Pope;;;;;;;;;x;
opinion_defied_princes;Defied the will of the Princes;Defied the will of the Princes;Defied the will of the Princes;;Defied the will of the Princes;;;;;;;;;x;
opinion_helped_adelaide;Helped me in my time of need;Helped me in my time of need;Helped me in my time of need;;Helped me in my time of need;;;;;;;;;x;
opinion_betrayed_me;Betrayed me;Betrayed me;Betrayed me;;Betrayed me;;;;;;;;;x;
opinion_former_roman;Stole translatio imperii;Stole translatio imperii;Stole translatio imperii;;Stole translatio imperii;;;;;;;;;x;x
opinion_coerced_marriage;Coerced into marriage;Coerced into marriage;Coerced into marriage;;Coerced into marriage;;;;;;;;;x;
opinion_end_papal_crowning;Ended Papal coronations;Ended Papal coronations;Ended Papal coronations;;Ended Papal coronations;;;;;;;;;;
opinion_forced_succession_deal;Forced into succession deal;Forced into succession deal;Forced into succession deal;;Forced into succession deal;;;;;;;;;;
opinion_named_as_heir;Named as heir;Named as heir;Named as heir;;Named as heir;;;;;;;;;;
opinion_stole_succession;Stole inheritance;Stole inheritance;Stole inheritance;;Stole inheritance;;;;;;;;;;
opinion_succession_deal_cancelled;Cancelled succession deal;Cancelled succession deal;Cancelled succession deal;;Cancelled succession deal;;;;;;;;;;
opinion_rejected_succession_deal;Rejected succession deal;Rejected succession deal;Rejected succession deal;;Rejected succession deal;;;;;;;;;;
opinion_cancelled_succession_deal;Cancelled succession deal;Cancelled succession deal;Cancelled succession deal;;Cancelled succession deal;;;;;;;;;;
opinion_signed_succession_deal;Signed away inheritance;Signed away inheritance;Signed away inheritance;;Signed away inheritance;;;;;;;;;;
opinion_co_crowned;Co-crowned;Co-crowned;Co-crowned;;Co-crowned;;;;;;;;;;
opinion_nominated_co_crown;Nominated for co-crowning;Nominated for co-crowning;Nominated for co-crowning;;Nominated for co-crowning;;;;;;;;;;
opinion_for_co_crown;Supported choice for co-crowning;Supported choice for co-crowning;Supported choice for co-crowning;;Supported choice for co-crowning;;;;;;;;;;
opinion_against_co_crown;Opposed choice for co-crowning;Opposed choice for co-crowning;Opposed choice for co-crowning;;Opposed choice for co-crowning;;;;;;;;;;
opinion_supported_co_crown;Supported for co-crowning;Supported for co-crowning;Supported for co-crowning;;Supported for co-crowning;;;;;;;;;;
opinion_opposed_co_crown;Opposed for co-crowning;Opposed for co-crowning;Opposed for co-crowning;;Opposed for co-crowning;;;;;;;;;;
opinion_usurped_co_crown;Usurped inheritance;Usurped inheritance;Usurped inheritance;;Usurped inheritance;;;;;;;;;;
opinion_guelph_positive;Guelph;Guelf;Guelf;;Güelf ;;;;;;;;;;
opinion_guelph_negative;Guelph;Guelf;Guelf;;Güelf ;;;;;;;;;;
opinion_ghibelline_positive;Ghibelline;Gibelin;Ghibellin;;Gibelina;;;;;;;;;;
opinion_ghibelline_negative;Ghibelline;Gibelin;Ghibellin;;Gibelina;;;;;;;;;;
opinion_refused_change_allegiance;Refused to switch allegiance;Refused to switch allegiance;Refused to switch allegiance;;Refused to switch allegiance;;;;;;;;;;
opinion_changed_allegiance;Switched allegiance;Switched allegiance;Switched allegiance;;Switched allegiance;;;;;;;;;;
opinion_tried_change_allegiance;Tried to change allegiance;Tried to change allegiance;Tried to change allegiance;;Tried to change allegiance;;;;;;;;;;
#CUSTOM TOOLTIPS;;;;;;;;;;;;;;x;
investiture_ongoing;The Investiture Controversy must not be ongoing;The Investiture Controversy must not be ongoing;The Investiture Controversy must not be ongoing;;The Investiture Controversy must not be ongoing;;;;;;;;;x;
bohemia_1;Bohemia receives your proposal to become their official liege-lord;Bohemia receives your proposal to become their official liege-lord;Bohemia receives your proposal to become their official liege-lord;;Bohemia receives your proposal to become their official liege-lord;;;;;;;;;x;
bohemia_2;The Emperor is informed that we have accepted the proposal;The Emperor is informed that we have accepted the proposal;The Emperor is informed that we have accepted the proposal;;The Emperor is informed that we have accepted the proposal;;;;;;;;;x;
bohemia_3;The Emperor is informed that we have rejected the proposal;The Emperor is informed that we have rejected the proposal;The Emperor is informed that we have rejected the proposal;;The Emperor is informed that we have rejected the proposal;;;;;;;;;x;
bohemia_4;You gain a Casus Belli to subjugate Bohemia by force;You gain a Casus Belli to subjugate Bohemia by force;You gain a Casus Belli to subjugate Bohemia by force;;You gain a Casus Belli to subjugate Bohemia by force;;;;;;;;;x;
bohemia_5;The Emperor will hear of your request.;The Emperor will hear of your request.;The Emperor will hear of your request.;;The Emperor will hear of your request.;;;;;;;;;x;
bohemia_6;The Duke of Bohemia will hear of your acceptance;The Duke of Bohemia will hear of your acceptance;The Duke of Bohemia will hear of your acceptance;;The Duke of Bohemia will hear of your acceptance;;;;;;;;;x;
bohemia_7;The Duke of Bohemia will hear of your rejection;The Duke of Bohemia will hear of your rejection;The Duke of Bohemia will hear of your rejection;;The Duke of Bohemia will hear of your rejection;;;;;;;;;x;
hussite_1;You crack down on the Hussite heresy;You crack down on the Hussite heresy;You crack down on the Hussite heresy;;You crack down on the Hussite heresy;;;;;;;;;x;
