#STORY EVENTS#;;;;;;;;;;;;;;x;
EVTNAME_rexteut_1001;Adelaide of Italy;Adelaide of Italy;Adelaide of Italy;;Adelaide of Italy;;;;;;;;;x;
EVTDESCA_rexteut_2026;Despite the Investiture Controversy ending in what seemed to be the favour of the Emperor, the new Pope has declared that his predecessor, being under the control of the Emperor, was illegitimate, and that therefore all of his pronouncements are null and void. He has subsequently restated the demands that the Emperor acknowledge Papal supremacy, and the Emperor has responded by defying the will of the Pope, restarting the Investiture Controversy.;Despite the Investiture Controversy ending in what seemed to be the favour of the Emperor, the new Pope has declared that his predecessor, being under the control of the Emperor, was illegitimate, and that therefore all of his pronouncements are null and void. He has subsequently restated the demands that the Emperor acknowledge Papal supremacy, and the Emperor has responded by defying the will of the Pope, restarting the Investiture Controversy.;Despite the Investiture Controversy ending in what seemed to be the favour of the Emperor, the new Pope has declared that his predecessor, being under the control of the Emperor, was illegitimate, and that therefore all of his pronouncements are null and void. He has subsequently restated the demands that the Emperor acknowledge Papal supremacy, and the Emperor has responded by defying the will of the Pope, restarting the Investiture Controversy.;;Despite the Investiture Controversy ending in what seemed to be the favour of the Emperor, the new Pope has declared that his predecessor, being under the control of the Emperor, was illegitimate, and that therefore all of his pronouncements are null and void. He has subsequently restated the demands that the Emperor acknowledge Papal supremacy, and the Emperor has responded by defying the will of the Pope, restarting the Investiture Controversy.;;;;;;;;;;
EVTDESCB_rexteut_2026;Despite the Investiture Controversy ending in what seemed to be the favour of the Emperor, the new Pope has declared that his predecessor, being under the control of the Emperor, was illegitimate, and that therefore all of his pronouncements are null and void. He has subsequently restated the demands that the Emperor acknowledge Papal supremacy, and the Emperor has responded by accepting the Pope's demands, preventing a resurgence of the Investiture Controversy. At least for now...;Despite the Investiture Controversy ending in what seemed to be the favour of the Emperor, the new Pope has declared that his predecessor, being under the control of the Emperor, was illegitimate, and that therefore all of his pronouncements are null and void. He has subsequently restated the demands that the Emperor acknowledge Papal supremacy, and the Emperor has responded by accepting the Pope's demands, preventing a resurgence of the Investiture Controversy. At least for now...;Despite the Investiture Controversy ending in what seemed to be the favour of the Emperor, the new Pope has declared that his predecessor, being under the control of the Emperor, was illegitimate, and that therefore all of his pronouncements are null and void. He has subsequently restated the demands that the Emperor acknowledge Papal supremacy, and the Emperor has responded by accepting the Pope's demands, preventing a resurgence of the Investiture Controversy. At least for now...;;Despite the Investiture Controversy ending in what seemed to be the favour of the Emperor, the new Pope has declared that his predecessor, being under the control of the Emperor, was illegitimate, and that therefore all of his pronouncements are null and void. He has subsequently restated the demands that the Emperor acknowledge Papal supremacy, and the Emperor has responded by accepting the Pope's demands, preventing a resurgence of the Investiture Controversy. At least for now...;;;;;;;;;;
EVTOPTA_rexteut_2026;Here we go again...;Here we go again...;Here we go again...;;Here we go again...;;;;;;;;;;
EVTOPTB_rexteut_2026;Is this the end of it then?;Is this the end of it then?;Is this the end of it then?;;Is this the end of it then?;;;;;;;;;;
EVTDESC_rexteut_2029;The power of the Emperor is effectively dependent on being crowned by the Pope. Now that you have the Papacy under your control, you're in an excellent position to receive the appropriate coronation from your new vassal-Pope. After all, he can hardly refuse...;The power of the Emperor is effectively dependent on being crowned by the Pope. Now that you have the Papacy under your control, you're in an excellent position to receive the appropriate coronation from your new vassal-Pope. After all, he can hardly refuse...;The power of the Emperor is effectively dependent on being crowned by the Pope. Now that you have the Papacy under your control, you're in an excellent position to receive the appropriate coronation from your new vassal-Pope. After all, he can hardly refuse...;;The power of the Emperor is effectively dependent on being crowned by the Pope. Now that you have the Papacy under your control, you're in an excellent position to receive the appropriate coronation from your new vassal-Pope. After all, he can hardly refuse...;;;;;;;;;;
EVTOPTA_rexteut_2029;Chances like this don't come often!;Chances like this don't come often!;Chances like this don't come often!;;Chances like this don't come often!;;;;;;;;;;
EVTOPTB_rexteut_2029;It would be wrong to take advantage like this...;It would be wrong to take advantage like this...;It would be wrong to take advantage like this...;;It would be wrong to take advantage like this...;;;;;;;;;;
#BOHEMIAN EVENTS#;;;;;;;;;;;;;;;
EVTDESC_rexteut_3001;Bohemia on your eastern frontier is already paying regular tribute, but perhaps we could both benefit if moves are made to officially integrate them into the empire...;Bohemia on your eastern frontier is already paying regular tribute, but perhaps we could both benefit if moves are made to officially integrate them into the empire...;Bohemia on your eastern frontier is already paying regular tribute, but perhaps we could both benefit if moves are made to officially integrate them into the empire...;;Bohemia on your eastern frontier is already paying regular tribute, but perhaps we could both benefit if moves are made to officially integrate them into the empire...;;;;;;;;;;
EVTOPTA_rexteut_3001;Sounds good;Sounds good;Sounds good;;Sounds good;;;;;;;;;;
EVTOPTB_rexteut_3001;No, our relationship is fine as it is;No, our relationship is fine as it is;No, our relationship is fine as it is;;No, our relationship is fine as it is;;;;;;;;;;
EVTNAME_rexteut_3002;Emperor offers vassalization;Emperor offers vassalization;Emperor offers vassalization;;Emperor offers vassalization;;;;;;;;;;
EVTDESC_rexteut_3002;It seems your imperial suzerain isn't content with just tribute: they're offering greater protection in return for official integration into the Empire.;It seems your imperial suzerain isn't content with just tribute: they're offering greater protection in return for official integration into the Empire.;It seems your imperial suzerain isn't content with just tribute: they're offering greater protection in return for official integration into the Empire.;;It seems your imperial suzerain isn't content with just tribute: they're offering greater protection in return for official integration into the Empire.;;;;;;;;;;
EVTOPTA_rexteut_3002;We will be safer under the Emperor's watch;We will be safer under the Emperor's watch;We will be safer under the Emperor's watch;;We will be safer under the Emperor's watch;;;;;;;;;;
EVTOPTB_rexteut_3002;We will not give up our independence so easily!;We will not give up our independence so easily!;We will not give up our independence so easily!;;We will not give up our independence so easily!;;;;;;;;;;x
EVTNAME_rexteut_3003;Bohemia accepts vassalization!;Bohemia accepts vassalization!;Bohemia accepts vassalization!;;Bohemia accepts vassalization!;;;;;;;;;;
EVTDESC_rexteut_3003;Bohemia has accepted your irresistible proposal. They are now officially a part of the Holy Roman Empire, and your direct vassals!;Bohemia has accepted your irresistible proposal. They are now officially a part of the Holy Roman Empire, and your direct vassals!;Bohemia has accepted your irresistible proposal. They are now officially a part of the Holy Roman Empire, and your direct vassals!;;Bohemia has accepted your irresistible proposal. They are now officially a part of the Holy Roman Empire, and your direct vassals!;;;;;;;;;x;
EVTOPTA_rexteut_3003;Excellent!;Excellent!;Excellent!;;Excellent!;;;;;;;;;x;
EVTNAME_rexteut_3004;Bohemia rejects vassalization;Bohemia rejects vassalization;Bohemia rejects vassalization;;Bohemia rejects vassalization;;;;;;;;;x;
EVTDESC_rexteut_3004;It seems Bohemia has rejected your generous proposal. So much so that they've refused to pay you any further tribute.;It seems Bohemia has rejected your generous proposal. So much so that they've refused to pay you any further tribute.;It seems Bohemia has rejected your generous proposal. So much so that they've refused to pay you any further tribute.;;It seems Bohemia has rejected your generous proposal. So much so that they've refused to pay you any further tribute.;;;;;;;;;x;
EVTOPTA_rexteut_3004;[From.GetSheHeCap] will pay for [From.GetHerHis] insolence!;They'll pay for their insolence!;They'll pay for their insolence!;;They'll pay for their insolence!;;;;;;;;;x;
EVTOPTB_rexteut_3004;Oh well, it was worth a try...;Oh well, it was worth a try...;Oh well, it was worth a try...;;Oh well, it was worth a try...;;;;;;;;;x;
EVTDESC_rexteut_3005;Since its incorporation into the Holy Roman Empire, the Duchy of Bohemia has always been one of the more prominent and powerful imperial states. Perhaps in return for your loyalty and support, the Emperor will consider elevating you above being a mere duke...;Since its incorporation into the Holy Roman Empire, the Duchy of Bohemia has always been one of the more prominent and powerful imperial states. Perhaps in return for your loyalty and support, the Emperor will consider elevating you above being a mere duke...;Since its incorporation into the Holy Roman Empire, the Duchy of Bohemia has always been one of the more prominent and powerful imperial states. Perhaps in return for your loyalty and support, the Emperor will consider elevating you above being a mere duke...;;Since its incorporation into the Holy Roman Empire, the Duchy of Bohemia has always been one of the more prominent and powerful imperial states. Perhaps in return for your loyalty and support, the Emperor will consider elevating you above being a mere duke...;;;;;;;;;x;
EVTOPTA_rexteut_3005;Yes, a king's crown would suit me well!;Yes, a king's crown would suit me well!;Yes, a king's crown would suit me well!;;Yes, a king's crown would suit me well!;;;;;;;;;x;
EVTOPTB_rexteut_3005;No, being a duke is good enough for me;No, being a duke is good enough for me;No, being a duke is good enough for me;;No, being a duke is good enough for me;;;;;;;;;;
EVTNAME_rexteut_3006;Kingdom of Bohemia?;Kingdom of Bohemia?;Kingdom of Bohemia?;;Kingdom of Bohemia?;;;;;;;;;;
EVTDESC_rexteut_3006;Your vassal, the Duke of Bohemia, has sent you a request: in return for loyalty and support, [From.GetSheHe] is asking for Bohemia to be raised to the rank of Kingdom. Obviously having guaranteed support from a vassal is always good, but will making one of them more powerful have dangerous long-term consequences?;Your vassal, the Duke of Bohemia, has sent you a request: in return for loyalty and support, [From.GetSheHe] is asking for Bohemia to be raised to the rank of Kingdom. Obviously having guaranteed support from a vassal is always good, but will making one of them more powerful have dangerous long-term consequences?;Your vassal, the Duke of Bohemia, has sent you a request: in return for loyalty and support, [From.GetSheHe] is asking for Bohemia to be raised to the rank of Kingdom. Obviously having guaranteed support from a vassal is always good, but will making one of them more powerful have dangerous long-term consequences?;;Your vassal, the Duke of Bohemia, has sent you a request: in return for loyalty and support, [From.GetSheHe] is asking for Bohemia to be raised to the rank of Kingdom. Obviously having guaranteed support from a vassal is always good, but will making one of them more powerful have dangerous long-term consequences?;;;;;;;;;;
EVTOPTA_rexteut_3006;I will grant them kingdom status in return for their loyalty;I will grant them kingdom status in return for their loyalty;I will grant them kingdom status in return for their loyalty;;I will grant them kingdom status in return for their loyalty;;;;;;;;;;
EVTOPTB_rexteut_3006;No. No, that's not happening.;No. No, that's not happening.;No. No, that's not happening.;;No. No, that's not happening.;;;;;;;;;;
EVTNAME_rexteut_3007;Emperor accepts request!;Emperor accepts request!;Emperor accepts request!;;Emperor accepts request!;;;;;;;;;x;
EVTDESC_rexteut_3007;The Emperor has considered your request for elevation to kingdom status and has accepted! From this day forth you and your successors shall be known as Kings of Bohemia!;The Emperor has considered your request for elevation to kingdom status and has accepted! From this day forth you and your successors shall be known as Kings of Bohemia!;The Emperor has considered your request for elevation to kingdom status and has accepted! From this day forth you and your successors shall be known as Kings of Bohemia!;;The Emperor has considered your request for elevation to kingdom status and has accepted! From this day forth you and your successors shall be known as Kings of Bohemia!;;;;;;;;;;
EVTOPTA_rexteut_3007;Glorious!;Glorious!;Glorious!;;Glorious!;;;;;;;;;x;
EVTDESC_rexteut_3008;The Emperor has considered your request for elevation to kingdom status and has refused. ;The Emperor has considered your request for elevation to kingdom status and has refused. ;The Emperor has considered your request for elevation to kingdom status and has refused. ;;The Emperor has considered your request for elevation to kingdom status and has refused. ;;;;;;;;;x;
EVTOPTA_rexteut_3008;Grrrr!;Grrrr!;Grrrr!;;Grrrr!;;;;;;;;;x;
EVTNAME_rexteut_3009;Bohemian coronation;Bohemian coronation;Bohemian coronation;;Bohemian coronation;;;;;;;;;x;
EVTDESC_rexteut_3009;The Duchy of Bohemia, in return for loyalty and support, has been elevated to the status of kingdom by the Emperor.;The Duchy of Bohemia, in return for loyalty and support, has been elevated to the status of kingdom by the Emperor.;The Duchy of Bohemia, in return for loyalty and support, has been elevated to the status of kingdom by the Emperor.;;The Duchy of Bohemia, in return for loyalty and support, has been elevated to the status of kingdom by the Emperor.;;;;;;;;;x;
EVTDESC_rexteut_3010;The loss of territory traditionally considered Bohemian proves you can't always rely on your own strength to deal with enemies encroaching on your borders. The Holy Roman Empire to the west, however, seems to be rising in power. Should you be willing to give up your independence to become a fief of the Empire, you will have it's incredible strength behind you...;The loss of territory traditionally considered Bohemian proves you can't always rely on your own strength to deal with enemies encroaching on your borders. The Holy Roman Empire to the west, however, seems to be rising in power. Should you be willing to give up your independence to become a fief of the Empire, you will have it's incredible strength behind you...;The loss of territory traditionally considered Bohemian proves you can't always rely on your own strength to deal with enemies encroaching on your borders. The Holy Roman Empire to the west, however, seems to be rising in power. Should you be willing to give up your independence to become a fief of the Empire, you will have it's incredible strength behind you...;;The loss of territory traditionally considered Bohemian proves you can't always rely on your own strength to deal with enemies encroaching on your borders. The Holy Roman Empire to the west, however, seems to be rising in power. Should you be willing to give up your independence to become a fief of the Empire, you will have it's incredible strength behind you...;;;;;;;;;x;
EVTNAME_rexteut_3011;Bohemia offers vassalization;Bohemia offers vassalization;Bohemia offers vassalization;;Bohemia offers vassalization;;;;;;;;;x;
EVTDESC_rexteut_3011;The Duchy of Bohemia on the eastern frontier has sent you a most curious request: it seems they are asking for your protection against their enemies, and in return are offering to be integrated into the Empire as an imperial fief.;The Duchy of Bohemia on the eastern frontier has sent you a most curious request: it seems they are asking for your protection against their enemies, and in return are offering to be integrated into the Empire as an imperial fief.;The Duchy of Bohemia on the eastern frontier has sent you a most curious request: it seems they are asking for your protection against their enemies, and in return are offering to be integrated into the Empire as an imperial fief.;;The Duchy of Bohemia on the eastern frontier has sent you a most curious request: it seems they are asking for your protection against their enemies, and in return are offering to be integrated into the Empire as an imperial fief.;;;;;;;;;x;
EVTOPTA_rexteut_3011;Sounds like a plan!;Sounds like a plan!;Sounds like a plan!;;Sounds like a plan!;;;;;;;;;x;
EVTOPTB_rexteut_3011;They seem like more trouble than they're worth to be honest...;They seem like more trouble than they're worth to be honest...;They seem like more trouble than they're worth to be honest...;;They seem like more trouble than they're worth to be honest...;;;;;;;;;x;
EVTNAME_rexteut_3012;Emperor accepts vassalization;Emperor accepts vassalization;Emperor accepts vassalization;;Emperor accepts vassalization;;;;;;;;;x;
EVTDESC_rexteut_3012;In response to your request, the Emperor has accepted your irresistible proposal of vassalization. The Duchy of Bohemia shall henceforth be considered a fief of the Holy Roman Empire from here on out.;In response to your request, the Emperor has accepted your irresistible proposal of vassalization. The Duchy of Bohemia shall henceforth be considered a fief of the Holy Roman Empire from here on out.;In response to your request, the Emperor has accepted your irresistible proposal of vassalization. The Duchy of Bohemia shall henceforth be considered a fief of the Holy Roman Empire from here on out.;;In response to your request, the Emperor has accepted your irresistible proposal of vassalization. The Duchy of Bohemia shall henceforth be considered a fief of the Holy Roman Empire from here on out.;;;;;;;;;x;
EVTOPTA_rexteut_3012;I hope this is for the best...;I hope this is for the best...;I hope this is for the best...;;I hope this is for the best...;;;;;;;;;x;
EVTNAME_rexteut_3013;Emperor rejects vassalization;Emperor rejects vassalization;Emperor rejects vassalization;;Emperor rejects vassalization;;;;;;;;;x;
EVTDESC_rexteut_3013;In response to your request, the Emperor has rejected your proposal of vassalization. It seems like if Bohemia is to have protection, it will have to seek it elsewhere...;In response to your request, the Emperor has rejected your proposal of vassalization. It seems like if Bohemia is to have protection, it will have to seek it elsewhere...;In response to your request, the Emperor has rejected your proposal of vassalization. It seems like if Bohemia is to have protection, it will have to seek it elsewhere...;;In response to your request, the Emperor has rejected your proposal of vassalization. It seems like if Bohemia is to have protection, it will have to seek it elsewhere...;;;;;;;;;x;
EVTOPTA_rexteut_3013;I'm sure we'll be fine. I hope...;I'm sure we'll be fine. I hope...;I'm sure we'll be fine. I hope...;;I'm sure we'll be fine. I hope...;;;;;;;;;x;
EVTNAME_rexteut_3014;Jan Hus;Jan Hus;Jan Hus;;Jan Hus;;;;;;;;;;
EVTDESC_rexteut_3014;While discontent with the Catholic church is hardly new, a preacher named Jan Hus has caused a stir in Bohemia. From his pulpit, Hus is denouncing the moral failings of the church, the clergy and the Pope, and more and more people are listening as he increasingly calls for a full-on reformation. While it seems harmless right now, such teachings are likely to have long term consequences if enough people turn against the Catholic authorities, and there's no telling how damaging they could be.;While discontent with the Catholic church is hardly new, a preacher named Jan Hus has caused a stir in Bohemia. From his pulpit, Hus is denouncing the moral failings of the church, the clergy and the Pope, and more and more people are listening as he increasingly calls for a full-on reformation. While it seems harmless right now, such teachings are likely to have long term consequences if enough people turn against the Catholic authorities, and there's no telling how damaging they could be.;While discontent with the Catholic church is hardly new, a preacher named Jan Hus has caused a stir in Bohemia. From his pulpit, Hus is denouncing the moral failings of the church, the clergy and the Pope, and more and more people are listening as he increasingly calls for a full-on reformation. While it seems harmless right now, such teachings are likely to have long term consequences if enough people turn against the Catholic authorities, and there's no telling how damaging they could be.;;While discontent with the Catholic church is hardly new, a preacher named Jan Hus has caused a stir in Bohemia. From his pulpit, Hus is denouncing the moral failings of the church, the clergy and the Pope, and more and more people are listening as he increasingly calls for a full-on reformation. While it seems harmless right now, such teachings are likely to have long term consequences if enough people turn against the Catholic authorities, and there's no telling how damaging they could be.;;;;;;;;;;
EVTOPTA_rexteut_3014;Crack down on this new heresy;Crack down on this new heresy;Crack down on this new heresy;;Crack down on this new heresy;;;;;;;;;;
EVTOPTB_rexteut_3014;Let him preach;Let him preach;Let him preach;;Let him preach;;;;;;;;;x;
EVTDESCA_rexteut_3015;A preacher named Jan Hus has been causing a bit of a stir in Bohemia, claiming that the Catholic church has become corrupt and is in need of reform. In response to Hus' increasingly large number of followers, the King of Bohemia has opted to suppress this heresy before things get out of hand.;A preacher named Jan Hus has been causing a bit of a stir in Bohemia, claiming that the Catholic church has become corrupt and is in need of reform. In response to Hus' increasingly large number of followers, the King of Bohemia has opted to suppress this heresy before things get out of hand.;A preacher named Jan Hus has been causing a bit of a stir in Bohemia, claiming that the Catholic church has become corrupt and is in need of reform. In response to Hus' increasingly large number of followers, the King of Bohemia has opted to suppress this heresy before things get out of hand.;;A preacher named Jan Hus has been causing a bit of a stir in Bohemia, claiming that the Catholic church has become corrupt and is in need of reform. In response to Hus' increasingly large number of followers, the King of Bohemia has opted to suppress this heresy before things get out of hand.;;;;;;;;;x;
EVTDESCB_rexteut_3015;A preacher named Jan Hus has been causing a bit of a stir in Bohemia, claiming that the Catholic church has become corrupt and is in need of reform. Despite Hus' growing audience, the King of Bohemia has decided to continue to allow him to preach, confident that Hus' heresy will amount to nothing.;A preacher named Jan Hus has been causing a bit of a stir in Bohemia, claiming that the Catholic church has become corrupt and is in need of reform. Despite Hus' growing audience, the King of Bohemia has decided to continue to allow him to preach, confident that Hus' heresy will amount to nothing.;A preacher named Jan Hus has been causing a bit of a stir in Bohemia, claiming that the Catholic church has become corrupt and is in need of reform. Despite Hus' growing audience, the King of Bohemia has decided to continue to allow him to preach, confident that Hus' heresy will amount to nothing.;;A preacher named Jan Hus has been causing a bit of a stir in Bohemia, claiming that the Catholic church has become corrupt and is in need of reform. Despite Hus' growing audience, the King of Bohemia has decided to continue to allow him to preach, confident that Hus' heresy will amount to nothing.;;;;;;;;;x;
EVTOPTA_rexteut_3015;Good. Show these heretics no quarter.;Good. Show these heretics no quarter.;Good. Show these heretics no quarter.;;Good. Show these heretics no quarter.;;;;;;;;;x;
EVTOPTB_rexteut_3015;I hope [From.GetSheHe] knows what [From.GetSheHe] is doing...;I hope [From.GetSheHe] knows what [From.GetSheHe] is doing...;I hope [From.GetSheHe] knows what [From.GetSheHe] is doing...;;I hope [From.GetSheHe] knows what [From.GetSheHe] is doing...;;;;;;;;;x;
EVTOPTC_rexteut_3015;Disgraceful!;Disgraceful!;Disgraceful!;;Disgraceful!;;;;;;;;;x;
EVTNAME_rexteut_3016;Jan Hus executed!;Jan Hus executed!;Jan Hus executed!;;Jan Hus executed!;;;;;;;;;x;
EVTDESC_rexteut_3016;As the crackdown on the heresy he unleashed continues, Jan Hus himself has been arrested by the Catholic authorities. Put on trial and found guilty of heresy, Hus has refused to recant his positions, and so has been put to death by being burned at the stake. Now all that's left is to see how his followers react...;As the crackdown on the heresy he unleashed continues, Jan Hus himself has been arrested by the Catholic authorities. Put on trial and found guilty of heresy, Hus has refused to recant his positions, and so has been put to death by being burned at the stake. Now all that's left is to see how his followers react...;As the crackdown on the heresy he unleashed continues, Jan Hus himself has been arrested by the Catholic authorities. Put on trial and found guilty of heresy, Hus has refused to recant his positions, and so has been put to death by being burned at the stake. Now all that's left is to see how his followers react...;;As the crackdown on the heresy he unleashed continues, Jan Hus himself has been arrested by the Catholic authorities. Put on trial and found guilty of heresy, Hus has refused to recant his positions, and so has been put to death by being burned at the stake. Now all that's left is to see how his followers react...;;;;;;;;;x;
EVTOPTA_rexteut_3016;Hopefully that'll be the end of it...;Hopefully that'll be the end of it...;Hopefully that'll be the end of it...;;Hopefully that'll be the end of it...;;;;;;;;;x;
EVTNAME_rexteut_3017;Hussites disband!;Hussites disband!;Hussites disband!;;Hussites disband!;;;;;;;;;x;
EVTDESCA_rexteut_3017;With Jan Hus gone, the words he preached are having a harder time finding an audience. In fear of similar reprisals, his former followers are quietly returning to the Catholic fold, while those who continue to preach the Hussite ways are increasingly being driven underground, the number who will listen to the words they preach dwindling by the day.;With Jan Hus gone, the words he preached are having a harder time finding an audience. In fear of similar reprisals, his former followers are quietly returning to the Catholic fold, while those who continue to preach the Hussite ways are increasingly being driven underground, the number who will listen to the words they preach dwindling by the day.;With Jan Hus gone, the words he preached are having a harder time finding an audience. In fear of similar reprisals, his former followers are quietly returning to the Catholic fold, while those who continue to preach the Hussite ways are increasingly being driven underground, the number who will listen to the words they preach dwindling by the day.;;With Jan Hus gone, the words he preached are having a harder time finding an audience. In fear of similar reprisals, his former followers are quietly returning to the Catholic fold, while those who continue to preach the Hussite ways are increasingly being driven underground, the number who will listen to the words they preach dwindling by the day.;;;;;;;;;;
EVTDESCB_rexteut_3017;After a campaign of suppression, many of those who follow the Hussite ways have decided that their desire to see real church reform is not worth their safety. Many have quietly returned to the Catholic fold, while those who continue to preach Hus' ideals are being driven further underground, the number who will listen to the words they preach dwindling by the day.;After a campaign of suppression, many of those who follow the Hussite ways have decided that their desire to see real church reform is not worth their safety. Many have quietly returned to the Catholic fold, while those who continue to preach Hus' ideals are being driven further underground, the number who will listen to the words they preach dwindling by the day.;After a campaign of suppression, many of those who follow the Hussite ways have decided that their desire to see real church reform is not worth their safety. Many have quietly returned to the Catholic fold, while those who continue to preach Hus' ideals are being driven further underground, the number who will listen to the words they preach dwindling by the day.;;After a campaign of suppression, many of those who follow the Hussite ways have decided that their desire to see real church reform is not worth their safety. Many have quietly returned to the Catholic fold, while those who continue to preach Hus' ideals are being driven further underground, the number who will listen to the words they preach dwindling by the day.;;;;;;;;;;
EVTOPTA_rexteut_3017;That's that then.;That's that then.;That's that then.;;That's that then.;;;;;;;;;;
EVTNAME_rexteut_3018;Hussites enraged!;Hussites enraged!;Hussites enraged!;;Hussites enraged!;;;;;;;;;;
EVTDESCA_rexteut_3018;While it was thought that getting Jan Hus out of the picture would've led to the end of the heresy he preached, in reality the opposite has happened. Infuriated by Hus' death, his followers have become invigorated, declaring their open hostility to the Catholic establishment, and finding sympathy in an alarmingly increasing number of people, horrified by Hus' execution.;While it was thought that getting Jan Hus out of the picture would've led to the end of the heresy he preached, in reality the opposite has happened. Infuriated by Hus' death, his followers have become invigorated, declaring their open hostility to the Catholic establishment, and finding sympathy in an alarmingly increasing number of people, horrified by Hus' execution.;While it was thought that getting Jan Hus out of the picture would've led to the end of the heresy he preached, in reality the opposite has happened. Infuriated by Hus' death, his followers have become invigorated, declaring their open hostility to the Catholic establishment, and finding sympathy in an alarmingly increasing number of people, horrified by Hus' execution.;;While it was thought that getting Jan Hus out of the picture would've led to the end of the heresy he preached, in reality the opposite has happened. Infuriated by Hus' death, his followers have become invigorated, declaring their open hostility to the Catholic establishment, and finding sympathy in an alarmingly increasing number of people, horrified by Hus' execution.;;;;;;;;;;
EVTDESCB_rexteut_3018;Finally cracking down on the Hussites has not had the effect you desired. Rather than give in, they've instead become infuriated and invigorated, holding up their treatment as an example of church corruption and brutality, and using it as a way of increasing their support among the discontent and disenchanted.;Finally cracking down on the Hussites has not had the effect you desired. Rather than give in, they've instead become infuriated and invigorated, holding up their treatment as an example of church corruption and brutality, and using it as a way of increasing their support among the discontent and disenchanted.;Finally cracking down on the Hussites has not had the effect you desired. Rather than give in, they've instead become infuriated and invigorated, holding up their treatment as an example of church corruption and brutality, and using it as a way of increasing their support among the discontent and disenchanted.;;Finally cracking down on the Hussites has not had the effect you desired. Rather than give in, they've instead become infuriated and invigorated, holding up their treatment as an example of church corruption and brutality, and using it as a way of increasing their support among the discontent and disenchanted.;;;;;;;;;;
EVTOPTA_rexteut_3018;Oh. Oh dear...;Oh. Oh dear...;Oh. Oh dear...;;Oh. Oh dear...;;;;;;;;;;
EVTDESCA_rexteut_3019;The execution of Jan Hus continues to reverberate in Bohemia, and has become a rallying cry for those discontent with the Catholic church and its teachings. More and more people are flocking to the Hussite cause, eager to fight back against the church's perceived excesses.;The execution of Jan Hus continues to reverberate in Bohemia, and has become a rallying cry for those discontent with the Catholic church and its teachings. More and more people are flocking to the Hussite cause, eager to fight back against the church's perceived excesses.;The execution of Jan Hus continues to reverberate in Bohemia, and has become a rallying cry for those discontent with the Catholic church and its teachings. More and more people are flocking to the Hussite cause, eager to fight back against the church's perceived excesses.;;The execution of Jan Hus continues to reverberate in Bohemia, and has become a rallying cry for those discontent with the Catholic church and its teachings. More and more people are flocking to the Hussite cause, eager to fight back against the church's perceived excesses.;;;;;;;;;x;
EVTDESCB_rexteut_3019;The policy of cracking down on the followers of Jan Hus has somewhat backfired, and, in a response to what's seen as increasing church brutality, more and more people are flocking to the heretic's cause.;The policy of cracking down on the followers of Jan Hus has somewhat backfired, and, in a response to what's seen as increasing church brutality, more and more people are flocking to the heretic's cause.;The policy of cracking down on the followers of Jan Hus has somewhat backfired, and, in a response to what's seen as increasing church brutality, more and more people are flocking to the heretic's cause.;;The policy of cracking down on the followers of Jan Hus has somewhat backfired, and, in a response to what's seen as increasing church brutality, more and more people are flocking to the heretic's cause.;;;;;;;;;;
EVTOPTA_rexteut_3019;Damned heretics!;Damned heretics!;Damned heretics!;;Damned heretics!;;;;;;;;;;
EVTNAME_rexteut_3020;The Defenestration of Prague!;The Defenestration of Prague!;The Defenestration of Prague!;;The Defenestration of Prague!;;;;;;;;;;
EVTDESC_rexteut_3020;Tensions between the Hussites and the Catholic faithful in Bohemia have been steadily growing, and have finally reached a climax. A Hussite congregation in Prague, demanding the release of several Hussite prisoners, was enraged after a stone was thrown at them from the town hall. Storming the building, they threw several members of the town council out of the windows, whereupon those that weren't killed by the falls were dispatched by the mob itself. This act of violence has galvanised both the Hussites and their Catholic opponents, and the tension between the two groups has erupted into outright conflict;Tensions between the Hussites and the Catholic faithful in Bohemia have been steadily growing, and have finally reached a climax. A Hussite congregation in Prague, demanding the release of several Hussite prisoners, was enraged after a stone was thrown at them from the town hall. Storming the building, they threw several members of the town council out of the windows, whereupon those that weren't killed by the falls were dispatched by the mob itself. This act of violence has galvanised both the Hussites and their Catholic opponents, and the tension between the two groups has erupted into outright conflict;Tensions between the Hussites and the Catholic faithful in Bohemia have been steadily growing, and have finally reached a climax. A Hussite congregation in Prague, demanding the release of several Hussite prisoners, was enraged after a stone was thrown at them from the town hall. Storming the building, they threw several members of the town council out of the windows, whereupon those that weren't killed by the falls were dispatched by the mob itself. This act of violence has galvanised both the Hussites and their Catholic opponents, and the tension between the two groups has erupted into outright conflict;;Tensions between the Hussites and the Catholic faithful in Bohemia have been steadily growing, and have finally reached a climax. A Hussite congregation in Prague, demanding the release of several Hussite prisoners, was enraged after a stone was thrown at them from the town hall. Storming the building, they threw several members of the town council out of the windows, whereupon those that weren't killed by the falls were dispatched by the mob itself. This act of violence has galvanised both the Hussites and their Catholic opponents, and the tension between the two groups has erupted into outright conflict;;;;;;;;;;
EVTOPTA_rexteut_3020;If it's war they want, it's war they'll get!;If it's war they want, it's war they'll get!;If it's war they want, it's war they'll get!;;If it's war they want, it's war they'll get!;;;;;;;;;x;
EVTOPTB_rexteut_3020;What's the world coming to?!;What's the world coming to?!;What's the world coming to?!;;What's the world coming to?!;;;;;;;;;x;
